PreyIndividuals_ID,stm_preyID,Length_mm,Length_Code,Weight_g,Comment
652,2606,26,TL,0.9,
653,2606,16.6,TL,0.33,
654,2607,24.9,TL,0.76,
655,2608,107.2,SL,13.71,
656,2609,65,AP,0.6,
657,2610,66,SL,1.24,
658,2612,20.7,TL,0.19,
659,2613,42.7,SL,6.71,
660,2613,40.6,SL,4.91,
661,2614,40.5,ML,9.32,
662,2616,47.8,ML,25.3,
663,2616,63.5,ML,26.8,
664,2616,52,ML,29,
665,2617,27.1,ML,1.56,
666,2619,67,ML,11.51,
667,2620,55.2,SL,6.12,
668,2620,65.5,SL,9.31,this one saved for BM
669,2621,60.3,SL,4.82,
670,2622,19.7,TL,0.29,
671,2623,6.2,TL,0.16,
672,2624,10.4,TL,0.11,
673,2624,12.5,TL,0.28,
674,2625,21.8,ML,2.33,
675,2626,22.9,ML,3.16,
676,2627,22.8,TL,0.38,
677,2628,80.1,ML,30.53,
678,3348,53,ML,11.3,AP ML
679,3349,55,ML,26.8,AP ML
680,2632,202,SL,27.22,
681,2630,42,SL,2.37,
682,2630,36,SL,2.04,
683,2630,27,SL,0.95,
684,2630,26,SL,0.87,
685,2630,30,SL,1.55,
686,2630,37,SL,2.11,
687,2630,29,SL,1.04,
688,2630,31,SL,1.46,
689,2630,33,SL,1.75,
690,2630,37,SL,2.21,
691,2630,97,SL,0.27,
692,2630,83,SL,0.25,
693,2630,108,SL,0.21,
694,2630,119,SL,0.22,
695,2630,127,SL,0.21,
696,2630,129,SL,0.16,
697,2630,125,SL,0.11,
698,2630,149,SL,0.16,
699,2630,129,SL,0.18,
700,2630,69,SL,0.05,
701,2630,92,SL,0.22,
702,2634,63,ML,11.52,
703,2635,30.1,SL,2.08,
704,2636,25.9,SL,0.87,
705,2637,50.9,UF,4.43,
706,2638,69.7,ML,15.7,
707,2640,15.9,TL,11.94,
708,2641,46.8,SL,7.55,
709,2642,64,ML,18.39,
710,2643,31,SL,1.77,
711,2643,35,SL,1.62,
712,2643,320,SL,1.19,
713,2643,35,SL,1.53,
714,2644,122,SL,9.61,
715,2645,16,TL,0.35,
716,2646,62,ML,9.33,
717,2647,22.8,SL,2.4,
718,2649,25.9,TL,0.35,
719,2648,11.4,TL,0.16,
720,2648,10.3,TL,0.17,
721,2648,24.9,TL,0.94,
722,2648,22.8,TL,0.89,
723,2648,19.7,TL,0.52,
724,2648,23,TL,0.5,
725,2648,23.1,TL,0.88,
726,2651,43.7,SL,6.42,
727,2653,52,TL,1.08,
728,2654,83.5,TL,0.26,representative individual sample
730,2656,30.1,SL,2.73,
731,2657,28,SL,1.83,
732,2657,42.6,SL,4.92,
733,2658,20.7,TL,0.14,
734,2658,35.3,TL,1.18,
735,2659,21.8,TL,1.18,
736,2659,16.6,TL,0.23,
737,2660,17.6,TL,0.12,representative individual sample
738,2661,54.1,ML,12.11,
739,2662,81.2,ML,74.47,
740,2663,139.4,SL,14.64,
741,2664,79.1,ML,5.68,
742,2665,44,SL,9.65,
743,2665,56,SL,14.27,
744,2666,206,AP,29.96,
745,2667,98,SL,5.41,
746,2668,27,TL,1.09,
747,2668,26,TL,0.87,
748,2668,28,TL,1.16,
749,2668,24,TL,0.97,
750,2668,25,TL,0.71,
751,2668,20,TL,0.68,
752,2668,25,TL,0.78,
753,2669,19,ML,1.38,
754,2671,32,SL,2.48,
755,2671,28,SL,1.73,
756,2673,20,TL,0.81,
757,2677,31.2,SL,2.06,
758,2678,20.7,TL,0.31,6.2mm W
759,2680,53.1,SL,4.54,
760,2681,20.7,TL,0.2,
761,2682,23.8,ML,1.52,
762,2683,12.6,TL,0.3,
763,2683,12.6,TL,0.41,
764,2683,22.8,TL,0.84,
765,2679,6.2,TL,0.02,
766,2683,12.4,TL,0.12,
767,2685,33,SL,2.23,
768,2685,35,SL,2.24,
769,2685,37,SL,2.44,
770,2687,116,SL,10.43,
771,2687,132,SL,14.3,
772,2689,25.9,TL,0.85,
773,2690,96,TL,1.75,19.7mm W
774,2691,30.1,TL,0.47,
775,2691,43.7,TL,0.57,
776,2692,150,TL,0.96,
777,2695,54.1,ML,46.18,
778,2695,47.8,ML,42.17,
779,2696,46.4,ML,2.28,
780,2697,32.2,SL,3.38,
781,2697,30.2,SL,2.41,
782,2697,22.9,SL,1.82,
